Class_order,Family,Subfamily_tribe,Genus,Species,Notes,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Cricotopus_Orthocladius,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Orthocladius,,"aka ""Euorthocladius""",,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Cricotopus_Nostococladius,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Chironomus,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Cryptochironomus,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Cryptotendipes,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Demicryptochironomus,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Diamesinae,Diamesa,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Dicrotendipes,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Eukiefferiella,brehmi ,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Eukiefferiella,brehmi group,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Eukiefferiella,claripennis ,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Eukiefferiella,claripennis group,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Eukiefferiella,devonica ,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Eukiefferiella,devonica group,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Eukiefferiella,gracei ,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Eukiefferiella,gracei group,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Eukiefferiella,pseudomontana,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Heleniella,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Heterotrissocladius,marcidus ,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Heterotrissocladius,marcidus group,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Hydrobaenus,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Tanypodinae,Krenopelopia,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Krenosmittia,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Tanypodinae,Labrundinia,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Tanypodinae,Larsia,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Limnophyes,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Lopescladius,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Tanypodinae,Macropelopia,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Tanytarsini,Micropsectra,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Microtendipes,pedellus ,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Microtendipes,pedellus group,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Microtendipes,rydalensis ,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Microtendipes,rydalensis group,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Nanocladius,balticus,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Tanypodinae,Nilotanypus,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Diamesinae,Pagastia,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Pagastiella,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Paracladopelma,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Paracricotopus,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Parakiefferiella,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Paralauterborniella,nigrohalteralis,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Tanypodinae,Paramerina,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Parametriocnemus,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Paraphaenocladius,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Tanytarsini,Paratanytarsus,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Paratendipes,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Podonominae,Parochlus,kiefferi,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Parorthocladius,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Tanypodinae,Pentaneura,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Phaenopsectra,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Phaenopsectra,obediens ,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Phaenopsectra,obediens group,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Phaenopsectra,punctipes ,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Phaenopsectra,punctipes group,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Polypedilum,aviceps,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Polypedilum,convictum,Flavum is the old nomenclature for convictum.,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Polypedilum,scalaenum,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Diamesinae,Potthastia,gaedii,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Diamesinae,Potthastia,gaedii group,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Diamesinae,Potthastia,longimana,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Diamesinae,Potthastia,longimana group,"May be notated ""longinmanus"" rather than ""longimana"" in taxonomist's notes",Chironomidae,Diamesinae,Potthastia,longimana,Diptera,Chironomidae,Diamesinae,Potthastia,longimana,Diptera,Chironomidae,Diamesinae,Potthastia,longimana,Diptera,Chironomidae,Diamesinae,Potthastia,longimana
Diptera,Chironomidae,Tanypodinae,Procladius,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Prodiamesinae,Prodiamesa,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Psectrocladius,psilopterus,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Psectrocladius,sordidellus,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Pseudochironomus,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Diamesinae,Pseudodiamesa,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Rheocricotopus,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Sergentia,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Tanytarsini,Rheotanytarsus,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Tanytarsini,Sublettea,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Tanytarsini,Stempellinella,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Tanytarsini,Stempellina,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Stenochironomus,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Symposiocladius,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Synorthocladius,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Tanytarsini,Tanytarsus,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Thienemanniella,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Thienemanniella,fusca,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Thienemanniella,xena ,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Tanypodinae,Thienemannimyia ,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Tanypodinae,Thienemannimyia group,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Tanypodinae,Radotanypus,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Tribelos,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Tanypodinae,Trissopelopia,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Tvetenia,bavarica,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Tanytarsini,Tvetenia,bavarica group,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Tvetenia,discoloripes,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Tanytarsini,Caladomyia,,Virgatanytarsus is the old nomenclature for Caladomyia (Caladomiya is the North American genus previously ID'ed as Virgatanytarsus).,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Tanypodinae,Zavrelimyia,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Microtendipes,rydalensis ,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Chironominae Chironomini,Microtendipes,rydalensis group,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,,Meropelopia,,,,,,,,,,,,,,,,,,,,,
Diptera,Empididae,,Roederoides_Wiedemannia,,,,,,,,,,,,,,,,,,,,,
Diptera,Dixidae,,Meringodixa,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae Pentaneurini,,Conchapelopia,,,,,,,,,,,,,,,,,,,,,
Diptera,Chironomidae,Orthocladiinae,Paracladius,,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Baetidae,,Acentrella,,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Heptageniidae,,Afghanurus,criddlei,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Ameletidae,,Ameletus,,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Baetidae,,Anafroptilum,,ne Centroptilum,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Baetidae,,Anafroptilum_Procloeon,,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Ephemerellidae,,Attenella,soquele,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Baetidae,,Baetis,,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Baetidae,,Baetis,tricaudatus complex,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Baetidae,,Baetis,piscatoris complex,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Caenidae,,Caenis,,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Baetidae,,Callibaetis,,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Heptageniidae,,Cinygma,,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Baetidae,,Diphetor,hageni,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Ephemerellidae,,Drunella,doddsii,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Ephemerellidae,,Drunella,flavilinea,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Ephemerellidae,,Drunella,grandis,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Ephemerellidae,,Drunella,spinifera,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Heptageniidae,,Epeorus,,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Heptageniidae,,Epeorus,albertae ,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Heptageniidae,,Epeorus,albertae group,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Ephemerellidae,,Caudatella,hystrix,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Ephemerellidae,,Ephemerella,excrucians,ne dorothea,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Ephemerellidae,,Ephemerella,excrucians group,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Ephemerellidae,,Eurylophella,,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Baetidae,,Fallceon,,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Heptageniidae,,Ironodes,,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Ephemerellidae,,Matriella,teresa,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Leptophlebiidae,,Neoleptophlebia,bicornuta ,"Dave thinks Neoleptophlebia is just Paraleptophlebia, however currently they are recognised in the literature as 2 different genus",,,,,,,,,,,,,,,,,,,
Ephemeroptera,Leptophlebiidae,,Paraleptophlebia,bicornuta ,"Dave thinks Neoleptophlebia is just Paraleptophlebia, however currently they are recognised in the literature as 2 different genus",,,,,,,,,,,,,,,,,,,
Ephemeroptera,Leptophlebiidae,,Paraleptophlebia,bicornuta group,"Dave thinks Neoleptophlebia is just Paraleptophlebia, however currently they are recognised in the literature as 2 different genus",,,,,,,,,,,,,,,,,,,
Ephemeroptera,Baetidae,,Procloeon,,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Heptageniidae,,Rhithrogena,,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Ephemerellidae,,Serratella,micheneri,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Ephemerellidae,,Serratella,tibialis,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Siphlonuridae,,Siphlonurus,,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Ephemerellidae,,Timpanoga,hecuba,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Leptohyphidae,,Tricorythodes,,,,,,,,,,,,,,,,,,,,,
Ephemeroptera,Heptageniidae,,Cinygmula,,,,,,,,,,,,,,,,,,,,,
Gastropoda,Planorbidae,,Gyraulus,,,,,,,,,,,,,,,,,,,,,
Gastropoda,Planorbidae,,Gyraulus_Menetus,,,,,,,,,,,,,,,,,,,,,
Gastropoda,Planorbidae,,Ferrissia,,,,,,,,,,,,,,,,,,,,,
Gastropoda,Semisulcospiridae,,Juga,,,,,,,,,,,,,,,,,,,,,
Gastropoda,Lymnaeidae,,Lymnaea,,,,,,,,,,,,,,,,,,,,,
Gastropoda,Planorbidae,,Menetus,,,,,,,,,,,,,,,,,,,,,
Gastropoda,Physidae,,Physa_Physella,,,,,,,,,,,,,,,,,,,,,
Gastropoda,Lymnaeidae,,Fossaria,,,,,,,,,,,,,,,,,,,,,
Gastropoda,Lymnaeidae,,Galba,,,,,,,,,,,,,,,,,,,,,
Gastropoda,Planorbidae,,Helisoma,,,,,,,,,,,,,,,,,,,,,
Hemiptera,Naucoridae,,Ambrysus,mormon,,,,,,,,,,,,,,,,,,,,
Hemiptera,Mesoveliidae,,Mesovelia,,,,,,,,,,,,,,,,,,,,,
Hemiptera,Veliidae,,Rhagovelia,,,,,,,,,,,,,,,,,,,,,
Hemiptera,Gerridae,,Aquarius,,water striders,,,,,,,,,,,,,,,,,,,
Hemiptera,Corixidae,,,,,,,,,,,,,,,,,,,,,,,
Lepidoptera,Crambidae,,Petrophila,,,,,,,,,,,,,,,,,,,,,
Megaloptera,Corydalidae,,Corydalus,texanus,,,,,,,,,,,,,,,,,,,,
Megaloptera,Corydalidae,,Orohermes,crepusculus,,,,,,,,,,,,,,,,,,,,
Megaloptera,Sialidae,,Sialis,,,,,,,,,,,,,,,,,,,,,
Mesostigmata,Ascidae,,Cheiroseius,,,,,,,,,,,,,,,,,,,,,
Monostilifera,Sperchonidae,,Prostoma,,,,,,,,,,,,,,,,,,,,,
Odonata,Aeshnidae,,Aeshna,interrupta,,,,,,,,,,,,,,,,,,,,
Odonata,Coenagrionidae,,Argia,,,,,,,,,,,,,,,,,,,,,
Odonata,Coenagrionidae,,Coenagrion_Enallagma,,,,,,,,,,,,,,,,,,,,,
Odonata,Libellulidae,,Brechmorhoga,mendax,,,,,,,,,,,,,,,,,,,,
Odonata,Libellulidae,,Brechmorhoga_Paltothemis,,,,,,,,,,,,,,,,,,,,,
Odonata,Cordulegasteridae,,Cordulegaster,dorsalis,,,,,,,,,,,,,,,,,,,,
Odonata,Coenagrionidae,,Enallagma,,,,,,,,,,,,,,,,,,,,,
Odonata,Gomphidae,,Octogomphus,specularis,,,,,,,,,,,,,,,,,,,,
Odonata,Gomphidae,,Ophiogomphus,morrisoni,,,,,,,,,,,,,,,,,,,,
Odonata,Calopterygidae,,Hetaerina,,,,,,,,,,,,,,,,,,,,,
Oligochaeta,,,,,,,,,,,,,,,,,,,,,,,,
Opisthopora,Lumbricidae,,,,earthworms,,,,,,,,,,,,,,,,,,,
Oribatida,,,,,mites,,,,,,,,,,,,,,,,,,,
Ostracoda,,,,,,,,,,,,,,,,,,,,,,,,
Plecoptera,Perlidae,,Calineuria,californica,,,,,,,,,,,,,,,,,,,,
Plecoptera,Capniidae,,,,,,,,,,,,,,,,,,,,,,,
Plecoptera,Perlodidae,,Cultus,,,,,,,,,,,,,,,,,,,,,
Plecoptera,Perlidae,,Doroneuria,baumanni,,,,,,,,,,,,,,,,,,,,
Plecoptera,Perlodidae,,Frisonia,picticeps,,,,,,,,,,,,,,,,,,,,
Plecoptera,Perlidae,,Hesperoperla,hoguei,,,,,,,,,,,,,,,,,,,,
Plecoptera,Perlidae,,Hesperoperla,pacifica,,,,,,,,,,,,,,,,,,,,
Plecoptera,Perlodidae,,Isoperla,,,,,,,,,,,,,,,,,,,,,
Plecoptera,Perlodidae,,Isoperla,marmorata,,,,,,,,,,,,,,,,,,,,
Plecoptera,Nemouridae,,Malenka,,,,,,,,,,,,,,,,,,,,,
Plecoptera,Leuctridae,,Moselia,infuscata,,,,,,,,,,,,,,,,,,,,
Plecoptera,Perlodidae,,Oroperla,barbara,,,,,,,,,,,,,,,,,,,,
Plecoptera,Perlodidae,Isoperlinae,,,,,,,,,,,,,,,,,,,,,,
Plecoptera,Perlodidae,,Osobenus,yakimae,,,,,,,,,,,,,,,,,,,,
Plecoptera,Perlodidae,,Perlinodes,aurea,,,,,,,,,,,,,,,,,,,,
Plecoptera,Pteronarcyidae,,Pteronarcys,princeps,,,,,,,,,,,,,,,,,,,,
Plecoptera,Perlodidae,,Skwala,,,,,,,,,,,,,,,,,,,,,
Plecoptera,Chloroperlidae,,Sweltsa,,,,,,,,,,,,,,,,,,,,,
Plecoptera,Peltoperlidae,,Yoraperla,,,,,,,,,,,,,,,,,,,,,
Plecoptera,Nemouridae,,Zapada,frigida,,,,,,,,,,,,,,,,,,,,
Plecoptera,Nemouridae,,Zapada,oregonensis,,,,,,,,,,,,,,,,,,,,
Plecoptera,Nemouridae,,Zapada,oregonensis group,,,,,,,,,,,,,,,,,,,,
Plecoptera,Nemouridae,,Zapada,cinctipes,,,,,,,,,,,,,,,,,,,,
Plecoptera,Perlidae,Acroneuriinae,Hesperoperla,pacifica,,,,,,,,,,,,,,,,,,,,
Sarcoptiformes,Heterozetidae,,Heterozetes,aquaticus,,,,,,,,,,,,,,,,,,,,
Sarcoptiformes,Malaconothridae,,Malaconothrus_Trimalaconothrus,,Trimalaconothrus is the Subgenus,,,,,,,,,,,,,,,,,,,
Tardigrada,,,,,tardigrades! they are not BMI so should not be included in analysis,,,,,,,,,,,,,,,,,,,
Trichoptera,Glossosomatidae,,Agapetus,taho,,,,,,,,,,,,,,,,,,,,
Trichoptera,Brachycentridae,,Amiocentrus,aspilus,,,,,,,,,,,,,,,,,,,,
Trichoptera,Glossosomatidae,,Anagapetus,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Apataniidae,,Apatania,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Hydropsychidae,,Arctopsyche,grandis,,,,,,,,,,,,,,,,,,,,
Trichoptera,Hydropsychidae,,Ceratopsyche,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Hydropsychidae,,Cheumatopsyche,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Philopotamidae,,Chimarra,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Limnephilidae,,Dicosmoecus,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Philopotamidae,,Dolophilodes,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Limnephilidae,,Ecclisomyia,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Glossosomatidae,,Glossosoma,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Sericostomatidae,,Gumaga,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Helicopsychidae,,Helicopsyche,,,,,,,,,,,,,,,,,,,,,
Trichoptera,Limnephilidae,,Hesperophylax,,,,,,,,,,,,,,,,,,,,,
